64,0.0078,0,0,0.0087,0,0
100,0.0077,0,0.0087,0.0089,0.0091,0
128,0,0,0.0197,0.0192,0.0175,0.0086
200,0,0,0.0783,0.0469,0.0538,0.0438
256,0.0074,0,0.2835,0.1633,0.1770,0.1139
512,0,0,2.5934,1.4051,1.8749,0.9484
600,0,0,2.1904,1.8393,1.4410,0.9827
900,0.0092,0.0092,7.5866,5.8542,4.7051,3.3425
1024,0.0084,0.0098,38.6065,20.0265,15.1865,7.8693
2000,0.0339,0.0291,107.9572,80.6863,55.7254,37.0504
2048,0.0438,0.0193,402.4681,196.7203,153.1715,82.3281
3000,0.0779,0.0535,373.1470,300.0474,181.2529,126.9609
4000,0.1492,0.0941,1062.5540,928.3212,490.0872,321.5471
5000,0.2383,0.1484,1900.1270,1425.2110,834.5298,583.9368
6000,0.3408,0.2011,3519.6610,2468.8630,1518.4560,1026.8500
10000,0.9575,0.5745,1125900000000000,13302.8300,7102.7490,4816.2280
