64,0.3261,0.2792,0.0446,0.0793,0.1574,0.1601
100,0.3295,0.2976,0.0350,0.0257,0.1439,0.1424
128,0.3319,0.2882,0.1515,0.1693,0.0441,0.0588
200,0.3092,0.3221,0.4072,0.2364,0.2409,0.2288
256,0.3039,0.2954,0.4461,0.3782,0.0255,0.0472
512,0.2975,0.3289,0.4919,0.4354,0.1552,0.2015
600,0.2960,0.2943,0.1321,0.3499,0.3498,0.3299
900,0.3009,0.2929,0.1028,0.3355,0.3014,0.3047
1024,0.3035,0.3025,0.3628,0.3659,0.1343,0.1989
2000,0.3033,0.2889,0.2053,0.4160,0.3052,0.2950
2048,0.2993,0.2934,0.3250,0.3219,0.4468,0.4173
3000,0.2441,0.2911,0.2512,0.4049,0.3049,0.2896
4000,0.2446,0.3051,0.4616,0.4211,0.3084,0.2972
5000,0.2452,0.3117,0.4344,0.4007,0.3022,0.2810
6000,0.2465,0.3132,0.4382,0.4112,0.2983,0.2737
10000,0.2635,0.3183,0.4317,0.3960,0.2880,0.2657
