64,0.3182,0.2840,0.3111,0.2769,0.2804,0.2848,0.2309,0.0463,0.1543,0.1575,0.1577,0.0296,0.0285,0.0323
100,0.3339,0.2923,0.2876,0.3032,0.3015,0.3067,0.3056,0.0390,0.1457,0.1348,0.1760,0.0631,0.0310,0.0316
128,0.3291,0.2897,0.2890,0.2853,0.2479,0.0982,0.0752,0.0106,0.0816,0.0358,0.0064,0.0043,0.0093,0.0096
200,0.3161,0.3163,0.3289,0.3243,0.3174,0.3257,0.3379,0.3938,0.2600,0.2353,0.2368,0.0715,0.1120,0.3881
256,0.3092,0.2864,0.2983,0.2558,0.0786,0.1339,0.1610,0.4512,0.1424,0.0250,0.0226,0.0702,0.2878,0.4502
512,0.2959,0.3519,0.3241,0.1388,0.2118,0.3085,0.3469,0.4923,0.1051,0.1389,0.2629,0.3220,0.4603,0.4884
600,0.2953,0.3081,0.2956,0.3166,0.3441,0.3430,0.3488,0.1319,0.4097,0.3468,0.1224,0.0736,0.1528,0.3318
900,0.2985,0.2791,0.2810,0.3024,0.3104,0.3029,0.3061,0.1023,0.3700,0.2985,0.2471,0.0851,0.1632,0.3587
1024,0.3036,0.3088,0.2959,0.1231,0.1954,0.3571,0.4151,0.3643,0.1099,0.1347,0.3489,0.4169,0.4762,0.4856
2000,0.3027,0.2808,0.2889,0.3125,0.3007,0.3027,0.3215,0.2313,0.3778,0.3046,0.2384,0.0922,0.0895,0.1941
2048,0.3000,0.3119,0.2913,0.1472,0.4539,0.4466,0.4538,0.3246,0.1150,0.4467,0.4557,0.4742,0.4836,0.4854
3000,0.2433,0.2797,0.2959,0.3213,0.2970,0.3030,0.3046,0.2453,0.3805,0.3040,0.2422,0.0567,0.1272,0.4022
4000,0.2451,0.2870,0.3046,0.3196,0.2944,0.3009,0.3133,0.4618,0.3943,0.3055,0.1177,0.0750,0.0974,0.1610
5000,0.2450,0.2897,0.3118,0.3241,0.2959,0.3046,0.3047,0.4344,0.3789,0.2980,0.2382,0.0541,0.0584,0.3963
6000,0.2456,0.3018,0.3134,0.3202,0.2941,0.3013,0.3120,0.4381,0.3641,0.2929,0.2331,0.0704,0.1133,0.1844
10000,0.2467,0.3199,0.3182,0.3246,0.2953,0.3026,0.3129,0.4316,0.3507,0.2833,0.2334,0.0747,0.0639,0.1852
