64,18298.5755,23268.7243,24203.5099,21214.1990,22538.9673,20579.5746,21693.5938,797.6215,1124.6618,875.2967,844.6948,727.0760,741.6701,789.1757
100,14988.3431,17656.7515,20112.8376,20593.4188,19508.7904,18432.3082,16997.2900,464.6541,811.8335,730.1457,704.2696,696.7731,410.5985,437.3145
128,13623.1180,17233.1924,19891.1026,19866.6473,17400.1357,12955.9894,13319.1392,9461.5399,683.0429,871.5056,706.8442,593.6712,11043.9236,11136.4043
200,13238.6422,15831.0937,19316.4071,18028.8788,17044.2170,16393.5420,16458.7837,6050.5805,1200.9979,880.8497,881.7193,1194.5224,1584.5466,6055.8898
256,13052.3870,13873.9980,17898.9299,17854.7653,12398.2485,13694.4270,20665.3182,62920.3674,4236.8538,2593.1817,4033.6128,10929.2358,38525.9121,64055.5344
512,14390.2440,13762.9855,15641.0462,12516.4156,15626.2646,35230.0825,37639.8102,55049.2147,5786.1703,10309.3256,23120.2459,32799.9767,49650.9990,54963.9507
600,14581.8082,9926.0094,15632.1783,17084.1797,15975.8021,15031.6987,12999.3863,8985.7987,4870.1091,1891.3063,1799.1334,2253.5893,3107.9546,6906.8080
900,14887.5021,15041.6346,12861.4018,19941.3758,17021.1283,13007.6798,9391.8494,8265.9321,3857.1766,1440.7536,923.6550,1034.9120,2641.1585,7483.9431
1024,14351.0693,23804.1890,20480.5464,16324.5357,10865.8054,38062.0107,38215.0072,15119.4574,4872.8281,7899.7336,36617.3158,45051.1492,54639.8499,56489.1032
2000,14825.8842,24652.0130,28597.2062,28689.8320,21683.8046,16600.9714,13205.2879,18962.0302,3255.7666,1071.5547,644.4995,859.2709,1152.5777,8087.6940
2048,14767.0864,24580.3684,25192.4772,15411.0629,63272.4292,40710.2118,40530.1053,11838.9090,5975.6673,59101.8981,51307.7114,53845.1720,55872.0492,56663.9599
3000,14661.4019,25039.7869,30422.7717,29507.7974,22793.1724,17272.1139,13411.5013,21338.5363,3667.5156,1168.3851,658.6950,753.5849,1629.0292,8481.8359
4000,14029.9073,25481.5785,30561.6591,30358.9020,23239.4180,17306.8332,12892.0909,38371.5538,4307.9765,2540.5934,1799.0973,1944.3588,9419.1774,18295.9297
5000,14686.4950,26989.5400,31177.3352,31011.5307,24066.6841,17779.4183,13516.5107,46982.4617,3349.5015,1129.7999,739.7931,787.8213,756.4205,8296.0432
6000,14662.4060,27391.3635,31726.0835,31333.9889,24117.4158,17566.9346,12851.9629,38956.3983,3277.3307,1169.8124,722.8290,830.5512,1387.9077,8037.2107
10000,16290.4403,28987.5724,31682.1446,31717.8165,24755.8930,17575.7120,12933.0306,37892.5841,3162.5500,1558.0128,925.6506,980.2901,797.6217,8182.7579
