64,0,0,0,0,0,0,0,0,0,0.0087,0,0,0,0
100,0,0,0,0,0,0,0,0.0085,0,0.0091,0.0086,0.0086,0.0085,0.0077
128,0,0,0.0075,0,0,0,0,0.0179,0.0171,0.0169,0.0170,0.0176,0.0262,0.0171
200,0,0,0,0,0,0,0,0.0684,0.0447,0.0425,0.0481,0.0485,0.0631,0.0651
256,0,0,0,0.0085,0,0,0,0.2692,0.1196,0.1690,0.1631,0.1812,0.2088,0.2677
512,0.0081,0,0.0090,0,0,0,0.0096,2.5262,1.6155,1.8196,1.9337,2.0119,2.3995,2.4844
600,0,0,0,0,0,0.0092,0,2.0352,1.1115,1.2130,1.3370,1.4318,1.6852,1.7661
900,0.0085,0.0085,0.0095,0,0.0101,0.0095,0.0082,7.5170,3.5806,3.9777,4.3411,4.5686,5.4116,5.7901
1024,0.0078,0,0.0098,0.0089,0.0184,0.0181,0.0176,36.5724,13.2878,14.8909,16.4824,17.1537,18.5838,19.0931
2000,0.0433,0.0204,0.0207,0.0205,0.0306,0.0340,0.0399,105.0978,42.3528,47.9349,51.0942,55.0551,60.2564,68.2041
2048,0.0423,0.0300,0.0290,0.0371,0.0662,0.0704,0.0776,395.6923,106.4966,145.8391,137.4255,140.3608,146.6030,150.3763
3000,0.0856,0.0519,0.0510,0.0442,0.0610,0.0681,0.0880,357.9185,137.0972,152.2770,161.7361,174.1782,199.8191,214.6261
4000,0.1547,0.1021,0.0831,0.0983,0.1022,0.1171,0.1550,1026.4020,383.2242,431.8731,453.7894,474.9272,571.9266,600.6210
5000,0.2354,0.1633,0.1473,0.1423,0.1642,0.1883,0.2357,1850.9790,654.9194,723.3401,769.9105,816.4237,930.9195,1004.0070
6000,0.3466,0.2393,0.2024,0.2104,0.2382,0.2863,0.3623,3521.6770,1183.6900,1320.3000,1409.6440,1506.6190,1657.2760,1859.8810
10000,0.9603,0.6528,0.5786,0.5825,0.6561,0.7907,0.9742,17468.7700,5567.2590,6153.2310,6561.5600,6933.9960,7645.5430,8564.4500
